DATA SLA SIRENE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULAN JANUARI 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,LOKASI Sirene,Stasiun / PIC,MERK,,,TAHUN PENGADAAN,Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Persentase Aktif (%)
,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
1,Kantor MRP Papua,Stageof Angkasa,Sircom,,,2010,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,ON,ON,ON,ON,ON,80.6%
2,RRI Manokwari,Stageof Sorong,Rekayasa,,,2021,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,100.0%
TOTAL PERSENTASE BULANAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.3%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATA OLA SIRENE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULAN JANUARI 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,LOKASI Sirene,Stasiun / PIC,MERK,,,Tahun Pengadaan,KONDISI OLA Sirene ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Persentase Aktif (%)
,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
1,Kantor MRP Papua,Stageof Angkasa,Sircom,,,2010,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100.0%
2,RRI Manokwari,Stageof Sorong,Rekayasa,,,2021,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100.0%
TOTAL PERSENTASE BULANAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATA SLA SIRENE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULAN FEBRUARI 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,LOKASI Sirene,Stasiun / PIC,MERK,,,TAHUN PENGADAAN,Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Persentase Aktif (%)
