ID_ALAT,ID_STASIUN,JENIS_PERALATAN,NAMA_PERALATAN,MERK,LATITUDE,LONGITUDE
ALT0001,MET001,AWOS Kat.I,Bandara Marinda - Raja Ampat,AWI,-0.420,130.776
ALT0002,MET001,AWOS Kat.I,Bandara Inanwatan - Inanwatan,AWI,-0.213,132.162
ALT0003,MET001,AWOS Kat.I,Bandara Ayawasi - Maybrat,AWI,-1.160,132.464
ALT0004,MET001,AWOS Kat.I,Bandara Kambuaya - Ayamaru,AWI,-1.317,132.290
ALT0005,MET001,AWOS Kat.I,Bandara Teminabuan - Sorong Selatan,AWI,-1.445,132.019
ALT0006,MET001,AWOS Kat.I,Bandara Babo - Babo,AWI,-2.539,133.438
ALT0007,MET001,AWOS Kat.III,Stamet Sorong,Microstep Kat III,-0.533,131.171
ALT0008,MET001,Radar Cuaca,Stamet Sorong,EEC/C-Band,-0.890,131.286
ALT0009,MET001,AWS,AWS Digi Stamet Sorong,-,-0.891,131.286
ALT0010,MET001,AWS,AWS Mesonet (STR I ) Sorong,-,-1.021,131.318
ALT0011,MET001,AWS,AWS Pelabuhan Sorong,-,-0.889,131.267
ALT0012,MET002,AWOS Kat.I,Stamet Torea - Fakfak,AWI,-2.555,132.526
ALT0013,MET002,AWS,AWS Degrean (STR I ) Stamet Fakfak,-,,
ALT0014,MET003,AWOS Kat.I,Stamet Utarom - Kaimana,AWI,-3.645,133.694
ALT0015,MET003,AWS,AWS Degrean (STR I)Stamet Kaimana,-,-3.644,133.697
ALT0016,MET004,AWOS Kat.I,Stamet Sudjarwo Tjondronegoro - Serui,AWI,-1.830,136064.000
ALT0017,MET004,AWS,AWS Stamet Serui,,-1.881,136.235
ALT0018,MET005,AWOS Kat.I,Bandara Kornasoren - Numfor,AWI,-9.362,134.865
ALT0019,MET005,AWOS Kat.III,Stamet Biak,Vaisala Kat III,-1.191,136.104
ALT0020,MET005,Radar Cuaca,Stamet Biak,EEC/C-Band,-1.163,136.088
ALT0021,MET005,AWS,AWS Digi Stamet Biak,-,-1.190,136.104
ALT0022,MET006,AWOS Kat.I,Bandara Oksibil - Oksibil,AWI,,
ALT0023,MET006,AWOS Kat.I,Bandara Yahukimo - Yakuhimo,AWI,,
ALT0024,MET006,AWOS Kat.I,Bandara Kasonaweja - Memberamo Raya,AWI,,
ALT0025,MET006,AWOS Kat.I,Bandara Senggeh - Keerom,AWI,,
ALT0026,MET006,AWOS Kat.III,Stamet Sentani,AWI,-2.576,140.518
ALT0027,MET006,Radar Cuaca,Stamet Sentani,EEC/C-Band,-2.599,140.528
ALT0028,MET006,AWS,AWS Digi Stamet Sentani,-,,
ALT0029,MET007,AWOS Kat.I,Bandara Wasior - Wasior,AWI,-2.723,134.506
ALT0030,MET007,AWOS Kat.I,Bandara Bintuni - Bintuni,AWI,-2.105,133.517
ALT0031,MET007,AWOS Kat.II,Stamet Manokwari,COASTAL,-8.921,134.051
ALT0032,MET007,AWS,AWS Degreane Stamet Manokwari,-,,
ALT0033,MET007,AWS,AWS Rekayasa Stamet Manokwari,-,,
ALT0034,MET008,AWOS Kat.I,Bandara Ewer - Ewer,AWI,-5.493,138.086
ALT0035,MET008,AWOS Kat.I,Bandara Ilaga - Ilaga,AWI,,
ALT0036,MET008,AWOS Kat.II,Stamet Timika,COASTAL,-4.530,136.893
ALT0037,MET008,Radar Cuaca,Stamet Timika,EEC/C-Band,-4.529,136.893
ALT0038,MET008,AWS,AWS Stamet Digi Timika,-,-4.530,136.893
ALT0039,MET009,AWOS Kat.I,Bandara Kimaam - Kimaam,AWI,-7.979,138.852
ALT0040,MET009,AWOS Kat.I,Bandara Okaba - Okaba,AWI,-8.095,139.721
ALT0041,MET009,AWOS Kat.I,Bandara Kepi - Kepi,AWI,-6.543,139.332
ALT0042,MET009,AWOS Kat.II,Stamet Merauke,Vaisala Kat II,-8.515,140.415
ALT0043,MET009,Radar Cuaca,Stamet Merauke,EEC/C-Band,-8.493,140.389
ALT0044,MET009,AWS,AWS Digi Stamet Merauke,-,-8.518,140.414
ALT0045,MET010,AWOS Kat.I,Bandara Boven Digul - Tanah Merah,AWI,,
ALT0046,MET010,AWOS Kat.I,Bandara Mindiptana - Mindiptana,AWI,-5.880,140.709
ALT0047,MET010,AWS,AWS  Degrean Stamet Tanah Merah,-,-6.098,140.301
ALT0048,MET011,AWOS Kat.I,Bandara Waghete - Waghete,AWI,-4.059,136.282
ALT0049,MET011,AWS,AWS Stamet Enarotali,-,-3.927,136.380
ALT0050,MET011,AWS,AWS Stamet DIgi Enarotali,-,-3.927,136.380
ALT0051,MET012,AWOS Kat.III,Stamet Wamena,AWI Kat III,-4.098,138.951
ALT0052,MET012,Radar Cuaca,Stamet Wamena,EEC/X-Band,-4.089,138.946
ALT0053,MET012,AWS,AWS Digi Wamena.,-,-4.089,138.946
ALT0054,MET013,AWOS Kat.II,Stamet Nabire,Campbell Aero Kat II,-3.393,135.393
ALT0055,MET013,AWS,AWS Digi Stamet Nabire,,-3.398,135.396
ALT0056,MET014,AWS,AWS Degreane Stamet Sarmi,-,,
ALT0057,KLI001,ARG,ARG Arso,-,-2.803,140.753
ALT0058,KLI001,ARG,ARG Arso 2,-,-2.906,140.755
ALT0059,KLI001,ARG,ARG Benyom Jaya,-,-2.539,140.105
ALT0060,KLI001,ARG,ARG Biak Barat,-,-1.057,135.872
ALT0061,KLI001,ARG,ARG Bonggo,-,-2.301,139.565
ALT0062,KLI001,ARG,ARG Dok II,-,-2.530,140.714
ALT0063,KLI001,ARG,ARG Kaoreh,-,-2.815,140.141
ALT0064,KLI001,ARG,ARG Karya Bumi,-,-2.589,140.231
ALT0065,KLI001,ARG,ARG KORAMIL Senggi,-,-3.430,140.779
ALT0066,KLI001,ARG,ARG Sarmi selatan,-,-1.983,138.709
ALT0067,KLI001,ARG,ARG Serui,-,-1.876,136.240
ALT0068,KLI001,ARG,ARG Betaf,-,-2.125,139.270
ALT0069,KLI001,ARG,ARG Heram,-,-2.573,140.623
ALT0070,KLI001,ARG,ARG Waris,-,-3.289,140.837
ALT0071,KLI001,AWS,AWS Rekayasa Balai V,-,-2.572,140.693
ALT0072,KLI001,AWS,AWS Nimboran.Staklim Papua,-,-2.593,140.168
ALT0073,KLI001,AWS,AWS  Rekayasa Arso,-,-2.870,140.735
ALT0074,KLI001,AWS,AWS Supiori Timur,-,-7.318,135.732
ALT0075,KLI001,AWS,AWS Rekayasa Skouw.,-,-2.609,140.997
ALT0076,KLI001,AWS,IKRO Staklim Papua,-,-2.593,140.168
ALT0077,KLI001,AWS,AAWS Koya Barat,-,-2.681,140.804
ALT0078,KLI002,AWS,AWS GAW Vihara Klademark,-,,
ALT0079,KLI002,AWS,AWS Manokwari Selatan Rekayasa,-,,
ALT0080,KLI002,AWS,AWS Staklim Papua Barat,-,,
ALT0081,KLI002,AWS,AWS Stasiun Klimatologi papua Barat IKRO,-,,
ALT0082,KLI002,AWS,AWS Raisei,-,,
ALT0083,KLI002,ARG,ARG Ayamaru,-,,
ALT0084,KLI002,ARG,ARG Manimere,-,,
ALT0085,KLI002,ARG,ARG Waisai,-,,
ALT0086,KLI002,ARG,ARG Moswaren,-,,
ALT0087,KLI002,ARG,ARG Senopi,-,,
ALT0088,KLI002,ARG,ARG Stageof Sorong,-,,
ALT0089,KLI002,ARG,ARG Suteibey,-,,
ALT0090,KLI002,ARG,ARG UNIPA Amban,-,,
ALT0091,KLI002,ARG,ARG Kaimana,-,,
ALT0092,KLI003,AWS,AWS Asiki,-,-6.638,140.423
ALT0093,KLI003,AWS,AAWS Staklim Tanah Miring,-,-8.387,140.517
ALT0094,KLI003,AWS,AWS Staklim Tanah Miring IKRO,-,-8.387,140.517
ALT0095,KLI003,ARG,ARG Agats,-,-5.542,138.141
ALT0096,KLI003,ARG,ARG Atsj,-,-5.739,138.383
ALT0097,KLI003,ARG,ARG BP3K Kurik,-,-8.289,140.269
ALT0098,KLI003,ARG,ARG BP3K Wasur,-,-8.536,140.464
ALT0099,KLI003,ARG,ARG Kuala Kencana,-,-4.408,136.856
ALT0100,KLI003,ARG,ARG Ngguti Bob,-,-8.293,140.702
ALT0101,KLI003,ARG,ARG SMPK Semangga,-,-8.410,140.469
ALT0102,KLI003,ARG,ARG Tanah Merah,-,-6.077,140.342
ALT0103,KLI003,ARG,ARG Sota,-,-8.429,141.018
ALT0104,KLI003,ARG,ARG Kimaam,-,-7.986,138.848
